substep,sim_time,dt,structural_mass,catalyst_mass,retention,classification,struct_rep,cat_rep
61000,4.765624999996799,0.000078125,1661.4526641537952,630.3664900374922,0.8828052166739258,Viable,0.11280040205355811,0.043952235636609084
62000,4.843749999996728,0.000078125,1658.4808721924962,630.2023707488429,0.8818688417753658,Viable,0.11454737312447869,0.04474932989504566
63000,4.921874999996657,0.000078125,1655.516571187492,630.0357833540116,0.8809252296351993,Viable,0.11629122058473836,0.0455494893418793
64000,4.999999999996586,0.000078125,1652.5597377739325,629.8667103778903,0.8799744895608151,Viable,0.11803195230562438,0.04635273411520919
65000,5.078124999996515,0.000078125,1649.6103486199047,629.6951340277841,0.8790167305617108,Viable,0.11976957613385172,0.047159083887660734
66000,5.156249999996444,0.000078125,1646.6683804298857,629.5210385121154,0.8780520581206357,Viable,0.12150409989159945,0.04796855787900769
67000,5.234374999996373,0.000078125,1643.733809946016,629.3444083249107,0.8770805766015317,Viable,0.12323553137654977,0.04878117486347088
68000,5.312499999996302,0.000078125,1640.8066139485668,629.1652285011986,0.8761023889027955,Viable,0.12496387836192807,0.0495969531746059
69000,5.390624999996231,0.000078125,1637.8867692563426,628.9834843181294,0.8751175968835588,Viable,0.12668914859654296,0.05041591070992634
70000,5.4687499999961595,0.000078125,1634.9742527263045,628.7991612408707,0.8741263014472341,Viable,0.12841134980482774,0.05123806493328772
71000,5.5468749999960885,0.000078125,1632.0690412537817,628.6122451280944,0.873128602264223,Viable,0.13013048968687885,0.05206343287938164
72000,5.624999999996017,0.000078125,1629.1711117732862,628.4227226106216,0.8721245972556971,Viable,0.1318465759184981,0.05289203115891243
73000,5.703124999995946,0.000078125,1626.280441258427,628.2305797715368,0.8711143844343653,Viable,0.1335596161512338,0.05372387596199803
74000,5.781249999995875,0.000078125,1623.397006720631,628.0358032450698,0.8700980603857219,Viable,0.13526961801242018,0.054558983058351135
75000,5.859374999995804,0.000078125,1620.5207852108124,627.8383810446187,0.8690757191338541,Viable,0.1369765891052191,0.05539736780469726
76000,5.937499999995733,0.000078125,1617.6517538232,627.6383016192552,0.8680474534585195,Viable,0.13868053700866267,0.0562390451584213
77000,6.015624999995662,0.000078125,1614.7898896887405,627.4355509264625,0.8670133589418724,Viable,0.14038146927769732,0.057084029663511685
78000,6.093749999995591,0.000078125,1611.9351699763843,627.23011685695,0.8659735278621657,Viable,0.1420793934432207,0.05793233545666708
79000,6.17187499999552,0.000078125,1609.0875718949014,627.0219879336854,0.8649280510011916,Viable,0.14377431701212406,0.05878397627587872
80000,6.249999999995449,0.000078125,1606.2470726933275,626.8111528616737,0.8638770182743521,Viable,0.14546624746733425,0.059638965464294195
81000,6.328124999995378,0.000078125,1603.4136496611893,626.5976007568958,0.8628205184222905,Viable,0.14715519226785537,0.06049731597424865
82000,6.406249999995307,0.000078125,1600.5872801282828,626.3813206797789,0.8617586396607608,Viable,0.14884115884881188,0.06135904036980993
83000,6.484374999995236,0.000078125,1597.7679414651066,626.1623026346066,0.8606914683121476,Viable,0.15052415462149116,0.062224150830700556
84000,6.562499999995165,0.000078125,1594.9556110837161,625.9405364359549,0.8596190903733365,Viable,0.15220418697338806,0.06309265915785675
85000,6.640624999995094,0.000078125,1592.1502664372804,625.7160122511041,0.8585415907756508,Viable,0.15388126326824525,0.06396457677506795
86000,6.718749999995023,0.000078125,1589.3518850190228,625.4887199245662,0.8574590543176374,Viable,0.1555553908461001,0.06483991472924272
87000,6.796874999994952,0.000078125,1586.5604443639852,625.2586509358433,0.8563715629887565,Viable,0.15722657702332354,0.06571868369801237
88000,6.8749999999948805,0.000078125,1583.7759220483183,625.0257953674337,0.8552792001300468,Viable,0.15889482909266597,0.06660089399070339
89000,6.9531249999948095,0.000078125,1580.9982956911324,624.7901461408243,0.8541820446439138,Viable,0.1605601543233022,0.06748655555618453
90000,7.031249999994738,0.000078125,1578.2275429539538,624.551693405257,0.8530801786744118,Viable,0.16222255996087548,0.06837567798424336
91000,7.109374999994667,0.000078125,1575.463641538428,624.3104289188714,0.8519736816215695,Viable,0.1638820532275398,0.06926827050221028
92000,7.187499999994596,0.000078125,1572.706569187953,624.0663441675066,0.8508626327189391,Viable,0.1655386413220048,0.07016434198218437
93000,7.265624999994525,0.000078125,1569.9563036882507,623.8194321711273,0.8497471085775784,Viable,0.16719233141957843,0.07106390094532351
94000,7.343749999994454,0.000078125,1567.2128228679985,623.5696847999433,0.8486271868490224,Viable,0.16884313067221343,0.07196695556621462
95000,7.421874999994383,0.000078125,1564.476104598367,623.3170953811601,0.8475029426820883,Viable,0.17049104620855107,0.07287351367438052
96000,7.499999999994312,0.000078125,1561.7461267937676,623.0616569398871,0.846374451124281,Viable,0.17213608513396694,0.073783582758928
97000,7.578124999994241,0.000078125,1559.0228674140455,622.8033646419256,0.8452417838156809,Viable,0.17377825453061643,0.07469716997714933
98000,7.65624999999417,0.000078125,1556.30630446746,622.5422137343044,0.8441050118011483,Viable,0.1754175614574858,0.07561428216541705
99000,7.734374999994099,0.000078125,1553.596416001161,622.2781938777856,0.842964213163447,Viable,0.17705401295043782,0.07653492581572453
